Distance_(pixels),Gray_Value
895,945.051
896,957.927
897,953.518
898,939.504
899,925.956
900,909.985
901,890.453
902,909.372
903,912.759
904,880.730
905,888.000
906,920.759
907,955.854
908,952.175
909,896.000
910,861.168
911,878.423
912,921.489
913,957.255
914,990.745
915,1023.971
916,1055.153
917,1063.241
918,1052.730
919,1019.971
920,965.226
921,976.876
922,1158.073
923,1397.956
924,1631.124
925,1735.912
926,1599.124
927,1341.898
928,1126.861
929,1195.971
930,1978.978
931,3910.102
932,7217.635
933,12069.985
934,18031.096
935,24319.592
936,30465.664
937,35341.461
938,38047.242
939,38286.016
940,35636.379
941,30645.197
942,24437.373
943,17968.525
944,12094.657
945,7247.971
946,3778.686
947,1901.752
948,1235.007
949,1255.504
950,1552.000
951,1843.591
952,1911.912
953,1741.197
954,1464.993
955,1198.861
956,1034.949
957,999.533
958,1056.000
959,1108.000
960,1147.650
961,1164.234
962,1106.102
963,1022.336
964,941.664
965,912.993
966,923.095
967,916.934
968,948.204
969,995.328
970,989.577
971,946.803
972,923.591
973,942.540
974,941.752
975,931.737
976,948.029
977,979.387
978,986.657
979,918.336
980,872.000
981,896.847
982,906.745
983,912.000
984,933.839
985,933.109
986,911.153
987,896.730
988,915.066
989,936.496
990,911.241
991,886.161
992,886.540
993,887.766
994,911.474
995,903.182
996,926.394
997,946.307
998,899.562
999,870.657
1000,864.788
1001,877.431
1002,927.153
1003,956.555
1004,950.745
1005,958.394
1006,960.555
1007,931.182
1008,877.168
1009,857.197
1010,871.825
1011,886.219
1012,923.620
1013,939.387
1014,925.577
1015,917.080
1016,893.285
1017,901.547
1018,918.657
1019,917.956
1020,894.248
1021,864.204
1022,886.715
1023,922.423
1024,913.956
1025,902.248
1026,915.474
1027,916.058
1028,899.942
1029,872.350
1030,884.292
1031,933.547
1032,958.949
1033,925.927
1034,870.482
1035,880.000
1036,891.971
1037,885.109
1038,904.321
1039,925.343
1040,936.759
1041,943.036
1042,923.387
1043,882.949
1044,884.438
1045,891.562
1046,895.358
1047,886.277
1048,891.212
1049,908.467
1050,912.000
1051,895.533
1052,907.416
1053,920.847
1054,890.715
1055,921.577
1056,933.985
1057,913.109
1058,906.190
1059,881.927
1060,873.022
1061,888.438
1062,911.708
1063,919.124
1064,910.949
1065,912.000
1066,936.496
1067,934.774
1068,917.810
1069,922.920
1070,900.146
1071,874.161
1072,868.788
1073,886.569
1074,893.723
1075,868.642
1076,878.336
1077,927.971
1078,948.613
1079,931.971
1080,911.474
1081,887.007
1082,877.635
1083,915.036
1084,915.007
1085,900.993
1086,924.175
1087,912.847
1088,897.197
1089,889.723
1090,878.102
1091,885.752
1092,912.204
1093,926.453
1094,936.467
1095,935.533
1096,884.000
1097,832.467
1098,868.234
1099,893.752
1100,850.803
1101,837.752
1102,856.000
1103,884.818
1104,888.000
1105,875.796
1106,883.328
1107,882.715
1108,888.204
1109,915.591
1110,925.080
1111,907.504
1112,888.526
1113,888.000
1114,899.796
1115,902.219
1116,898.686
1117,872.000
1118,861.723
1119,905.314
1120,942.803
1121,941.839
1122,912.000
1123,895.153
1124,865.460
1125,854.774
1126,899.036
1127,917.343
1128,894.949
1129,895.854
1130,928.000
1131,904.350
1132,865.839
1133,889.285
1134,896.876
1135,896.555
1136,903.328
1137,889.577
1138,890.715
1139,896.000
1140,877.693
1141,923.766
1142,963.650
1143,939.533
1144,920.029
1145,907.445
1146,886.161
1147,866.131
1148,877.927
1149,892.380
1150,913.226
1151,899.387
1152,877.080
1153,871.971
1154,870.511
1155,884.234
1156,899.007
1157,915.124
1158,899.445
1159,888.000
1160,907.153
1161,904.000
1162,896.000
1163,900.175
1164,903.883
1165,907.708
1166,914.774
1167,916.292
1168,896.000
1169,914.102
1170,958.423
1171,958.277
1172,931.124
1173,907.007
1174,899.562
1175,885.869
1176,914.628
1177,927.620
1178,903.270
1179,918.920
1180,938.190
1181,947.854
1182,952.175
1183,915.679
1184,923.445
1185,979.182
1186,989.022
1187,1013.255
1188,1006.277
1189,958.832
1190,966.978
1191,1078.190
1192,1351.212
1193,1885.985
