Distance_(pixels),Gray_Value
633,109.2608
634,108.6398
635,107.8602
636,107.5216
637,106.1873
638,107.5562
639,113.1902
640,111.2478
641,104.7896
642,108.1916
643,106.9654
644,109.1902
645,108.4524
646,112.8314
647,114.4784
648,111.0432
649,105.3213
650,106.5562
651,106.0850
652,105.0447
653,105.9467
654,106.7839
655,108.4769
656,107.7550
657,107.5014
658,107.0821
659,107.3977
660,106.9914
661,106.8429
662,106.8545
663,109.1124
664,107.8184
665,112.1484
666,114.7824
667,113.2723
668,108.1974
669,106.8790
670,107.9078
671,108.3271
672,107.0115
673,106.7075
674,105.8545
675,105.6297
676,105.2911
677,104.1527
678,106.8833
679,105.9971
680,107.7752
681,107.7421
682,106.6138
683,105.5562
684,107.3444
685,110.0259
686,111.5807
687,111.1470
688,106.5576
689,105.7752
690,107.4352
691,107.0908
692,103.4611
693,106.9683
694,105.1311
695,106.2104
696,106.5576
697,105.3617
698,105.1888
699,103.7565
700,105.4870
701,105.5086
702,102.6484
703,105.4755
704,106.3876
705,106.1844
706,108.9841
707,108.6110
708,104.6931
709,107.0331
710,106.6643
711,106.8746
712,103.8026
713,105.3790
714,104.1210
715,105.3458
716,105.7507
717,104.5865
718,105.5029
719,104.4049
720,104.2478
721,104.9078
722,102.6369
723,103.2507
724,103.1326
725,103.9179
726,105.0807
727,104.3617
728,105.3545
729,103.0562
730,105.8530
731,103.5951
732,105.8285
733,104.7911
734,103.2752
735,103.1916
736,104.7522
737,102.7565
738,103.2680
739,103.2305
740,104.5504
741,103.6153
742,102.8213
743,102.3516
744,104.4870
745,103.8343
746,105.1801
747,104.4380
748,102.3069
749,105.3300
750,104.4827
751,102.3790
752,102.6585
753,104.0216
754,102.4467
755,102.6960
756,103.4957
757,103.7061
758,104.5980
759,104.0893
760,103.5403
761,103.9798
762,105.2939
763,102.3516
764,102.6210
765,101.9308
766,102.8141
767,101.1023
768,103.2464
769,104.0346
770,102.9135
771,99.7954
772,101.9179
773,101.1354
774,101.3444
775,101.2925
776,103.9179
777,104.0403
778,104.4280
779,101.6686
780,101.4092
781,102.7536
782,103.8617
783,102.0317
784,103.9769
785,100.2406
786,102.8545
787,102.2896
788,104.2622
789,102.7723
790,103.5058
791,100.3256
792,104.3012
793,104.1830
794,102.8718
